vxkecb,717,Entertainment,70,2885,5.0,1,0
ksoccer1st,730,Entertainment,3,3132,1.0,6,3
PowerSurge727,749,Film & Animation,75,1428,5.0,5,7
4337dside4337,748,Comedy,59,966,4.25,4,1
garyploski,641,Comedy,490,874,4.0,13,4
Demasu,509,Gadgets & Games,220,7091,3.28,46,18
publicados,654,News & Politics,631,852,5.0,2,1
andresouls,645,People & Blogs,30,169,0.0,0,1
jmac92,718,Comedy,76,109,0.0,0,0
mmvideo,418,Entertainment,189,149,0.0,0,0
SoundSystemBrazil,642,Music,238,229,3.0,1,0
joaosilvestre,395,People & Blogs,48,10955,3.0,11,8
toskoleo,538,Music,233,177,0.0,0,0
mmvideo,727,Film & Animation,190,3,0.0,0,0
Angeloclemente,602,Entertainment,206,328,5.0,1,0
blockdark,648,Gadgets & Games,246,224,5.0,3,0
ECOTV,567,Entertainment,169,982,0.0,0,0
Valentino67,442,Music,180,1136,4.88,8,1
publicados,659,Comedy,642,14580,4.26,19,11
crashdownbr,640,Music,580,457,5.0,1,4
MysticMountain1,713,People & Blogs,84,559,4.6,5,0
reliecer,723,Travel & Places,12,52,0.0,0,0
Pingolada,715,Sports,82,467,0.0,0,1
Angeloclemente,602,Entertainment,206,200,0.0,0,0
aksar69,0,UNA,441,6007,3.14,7,4
aksar69,0,UNA,80,13607,4.29,31,7
aksar69,0,UNA,73,15527,2.94,33,2
aksar69,0,UNA,76,5560,4.38,8,0
aksar69,0,UNA,52,9505,2.13,23,3
aksar69,0,UNA,15,14831,1.73,11,3
aksar69,0,UNA,15,4191,4.33,3,1
aksar69,0,UNA,24,3707,3.0,1,1
RazputinQuemandote,615,Comedy,128,2740,5.0,4,1
navamalk,597,News & Politics,244,1882,4.0,5,3
btovix,543,Comedy,186,908,5.0,1,7
brunolanders,589,News & Politics,82,596,0.0,0,0
skamends,650,Film & Animation,177,392,0.0,0,1
jvcgtx,567,Comedy,121,405,1.0,2,2
Favourite14,718,Entertainment,68,2,0.0,0,0
busjack,503,Entertainment,92,1109,4.12,8,4
bushbaby999,608,Comedy,196,95147,4.49,35,0
bushbaby999,585,Entertainment,64,15003,2.13,15,10
busjack,523,Entertainment,36,241,1.4,5,1
bushbaby999,542,Entertainment,281,60240,4.2,10,0
bushbaby999,543,Entertainment,483,13309,3.2,5,0
bushbaby999,537,Entertainment,174,144562,3.83,30,3
bushbaby999,510,Entertainment,157,92067,4.41,34,5
busjack,0,UNA,149,85087,4.33,126,113
maluvideos,618,Music,260,13277,4.6,5,2
busjack,542,Sports,88,43748,4.53,55,27
wrestleheatradio,727,Entertainment,88,9849,3.07,15,6
jr512,748,Entertainment,32,3632,5.0,7,8
IncidentalHeroes,747,News & Politics,206,588,4.18,11,30
LOLkid3,733,Entertainment,30,298,0.0,0,0
tonystark16,716,Entertainment,30,73,0.0,0,0
ind3lig3ntxon3,703,Entertainment,541,892,4.0,5,1
r8man,748,Autos & Vehicles,498,951,5.0,5,10
loverosetyler,749,Autos & Vehicles,456,380,4.88,8,3
BBCWorldwide,724,Autos & Vehicles,271,8112,4.8,35,14
BBCWorldwide,724,Autos & Vehicles,557,29068,4.72,114,26
nubbie1944,718,Autos & Vehicles,232,21931,4.88,24,20
ZEDRY,707,Autos & Vehicles,554,25090,4.36,25,37
mariusviz,728,Autos & Vehicles,322,28561,4.86,72,29
stkog,565,Entertainment,421,14094,3.86,21,17
compucool,740,Autos & Vehicles,347,23840,4.82,105,24
musicfan1267,569,Music,219,91092,4.62,239,93
missgigi,335,Music,233,84247,4.77,330,153
vasirofe21,597,Music,225,16319,4.85,48,17
sup3rstarz,452,Music,441,26977,4.4,55,16
thriftshopxl,564,Music,242,12959,4.6,63,25
billydeeuk,577,Music,273,68028,4.77,282,124
DramaTube,595,Music,258,10210,4.8,25,15
anexfanatic,476,Entertainment,283,13353,2.96,24,23
AllHipHopcom,737,Music,109,20287,4.8,15,13
AllHipHopcom,603,Music,38,72255,4.33,102,186
AllHipHopcom,737,Music,101,17721,5.0,10,5
norcoryde1,748,Howto & DIY,44,1970,3.8,15,13
freathinker,748,Howto & DIY,464,2201,4.47,15,11
SneiperKarl,748,Howto & DIY,54,218,2.5,2,2
emtrane,747,Entertainment,123,9444,2.73,15,15
tobuscus,748,Howto & DIY,50,4800,4.71,42,37
SharkSkull,748,Howto & DIY,211,1823,3.44,9,12
laboss1,748,Howto & DIY,257,913,3.0,4,4
Jazzyvx8100,747,Comedy,3,5596,2.92,13,10
WEINERprod,744,Film & Animation,520,435,3.57,7,3
galvetraz302,742,Film & Animation,323,309,1.0,1,0
4yui,733,Entertainment,278,13297,5.0,30,12
lilone0120,736,Music,278,4182,5.0,10,1
ryokamelove,735,Music,268,2000,5.0,2,0
lumaki,748,Music,245,5913,4.85,13,3
haretenki,747,Music,245,1417,4.86,7,6
AkimotoKumiko,735,Music,268,5130,5.0,5,4
aibazoie,748,Music,245,905,5.0,7,2
peter192220,747,Music,245,1957,5.0,2,0
pinkukikkon,748,Music,244,1600,4.8,10,0
disdaflypnai,747,Music,245,493,5.0,1,0
kumithebest,748,Music,245,458,5.0,1,0
nanhvuong,748,Music,245,108,5.0,2,1
SCYPER,747,Music,245,316,5.0,4,0
layjapa,738,Music,278,3339,5.0,5,0
RanP2007,734,Music,268,2793,4.6,5,2
funkycucumber,731,Entertainment,213,10263,4.73,15,18
RanP2007,748,Music,245,506,5.0,4,2
capslocklove,748,Music,245,28,0.0,0,0
funkycucumber,731,Entertainment,241,11862,4.89,27,21
thefuture17,724,Sports,58,245,0.0,0,0
BNFIGHTSITE,748,Sports,24,208,3.67,3,1
ghollett,748,Sports,24,84,3.0,1,0
GRiSHoCKEY,660,Sports,58,2217,5.0,1,4
FloPoErich,732,Sports,63,934,5.0,3,0
harskiharska,642,Sports,287,6020,4.75,20,9
EFitzhume,716,Sports,88,5888,4.83,6,0
BNFIGHTSITE,660,Sports,213,1536,5.0,4,1
hockeyfightsdotcom,743,Sports,51,4413,5.0,2,2
GRiSHoCKEY,717,Sports,52,3850,5.0,2,1
maxdonno,740,Film & Animation,136,746,0.0,0,0
fantastico20072007,749,Comedy,208,495,5.0,2,1
bopepper,694,Music,237,23264,3.92,12,5
paulrowley1969,552,Music,203,378,5.0,1,2
bopepper,695,Music,169,867,5.0,2,0
paulrowley1969,612,Film & Animation,311,209,4.75,4,8
wizeguy78,341,Comedy,105,509,5.0,1,5
sokalski,619,Music,32,986,1.86,14,21
Gladiam,470,Music,35,954,3.0,2,2
holidaydream,671,Comedy,167,108,5.0,2,0
funnyfeeling,533,Music,9,489,3.0,2,0
redhaio,556,Music,116,26540,4.91,117,50
roellie123,719,People & Blogs,154,153,3.67,3,0
albAX,311,People & Blogs,141,128479,4.21,338,231
hipinat,641,Comedy,262,10529,4.6,20,10
Harpsucker,545,Music,512,12203,4.76,67,27
budakdk,584,Entertainment,556,44638,4.72,188,109
xspace360,749,People & Blogs,173,372,3.44,9,5
MatzeR89,580,Comedy,181,449,4.0,4,3
BADtimmay,610,Comedy,59,204,2.0,1,0
olejoerges,732,Entertainment,60,122,0.0,0,0
Depp1978,737,Comedy,60,115,0.0,0,0
murrat8,717,People & Blogs,34,189,0.0,0,0
evilcreaturez,504,Film & Animation,326,416,4.67,3,0
MatzeR89,720,Entertainment,73,64,0.0,0,0
pac209,724,Comedy,61,71,0.0,0,0
bailey0621,723,People & Blogs,10,478,1.0,1,0
